from_newsgroup,to_newsgroup,number_of_references
no.general,no.biz,187
no.general,no.kryptografi,187
no.musikk,no.musikk.klassisk,187
no.bolig,unknown,186
no.news.diverse,no.alt.config,186
no.mail.drift,unknown,185
no.news.drift,no.general,185
no.folklore.overtro,no.prat.ufo,184
no.folklore.overtro,no.religion,184
no.mail.diverse,no.news.diverse,184
no.marked,no.marked.jobb,184
no.marked.data,no.www,184
no.prat.ufo,no.vit.diverse,184
no.alt.gledesutbrudd,no.musikk,183
no.alt.mat,no.prat.politikk,182
no.pc,no.marked.jobb,182
no.general,no.telepost,181
no.news.diverse,no.prat.seksualitet,181
no.news.diverse,no.tele,181
no.religion,no.medisin,181
